=================================================================
           NETWORK PERFORMANCE SUMMARY REPORT
           Generated on: 2026-09-21 12:03:08
=================================================================

[1. HOST AGGREGATED METRICS]
--------------------------------------------------------------------------------
Target Host          | Sent   | Recv   | Loss %   | Min (ms)  | Max (ms)  | Avg (ms) 
--------------------------------------------------------------------------------
172.16.32.0          | 23     | 23     | 0.0%     | 0.92      | 4.12      | 1.6      
172.16.32.1          | 23     | 23     | 0.0%     | 1.02      | 7.57      | 1.96     
172.16.32.2          | 23     | 23     | 0.0%     | 1.13      | 8.5       | 1.94     
172.16.32.3          | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.4          | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.5          | 23     | 23     | 0.0%     | 0.93      | 7.44      | 2.05     
172.16.32.6          | 23     | 23     | 0.0%     | 1.01      | 4.97      | 1.92     
172.16.32.7          | 23     | 23     | 0.0%     | 1.04      | 8.13      | 1.74     
172.16.32.8          | 23     | 23     | 0.0%     | 1.03      | 3.85      | 1.74     
172.16.32.9          | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.10         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.11         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.12         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.13         | 23     | 23     | 0.0%     | 1.11      | 4.42      | 1.85     
172.16.32.14         | 23     | 23     | 0.0%     | 1.15      | 4.73      | 1.51     
172.16.32.15         | 23     | 23     | 0.0%     | 1.11      | 10.0      | 2.37     
172.16.32.16         | 23     | 23     | 0.0%     | 1.06      | 8.65      | 2.08     
172.16.32.17         | 23     | 23     | 0.0%     | 0.97      | 4.04      | 1.68     
172.16.32.18         | 23     | 23     | 0.0%     | 1.04      | 3.48      | 1.78     
172.16.32.19         | 23     | 23     | 0.0%     | 1.12      | 3.1       | 1.7      
172.16.32.20         | 23     | 23     | 0.0%     | 1.09      | 8.66      | 2.16     
172.16.32.21         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.22         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.23         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.24         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.25         | 23     | 23     | 0.0%     | 1.03      | 3.54      | 1.57     
172.16.32.26         | 23     | 23     | 0.0%     | 1.02      | 4.97      | 1.82     
172.16.32.27         | 23     | 23     | 0.0%     | 1.08      | 3.6       | 1.83     
172.16.32.28         | 23     | 23     | 0.0%     | 1.11      | 3.43      | 1.82     
172.16.32.29         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.30         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.31         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.32         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.33         | 23     | 23     | 0.0%     | 1.02      | 4.08      | 1.7      
172.16.32.34         | 23     | 23     | 0.0%     | 1.11      | 3.6       | 1.6      
172.16.32.35         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.36         | 23     | 23     | 0.0%     | 0.99      | 2.75      | 1.58     
172.16.32.37         | 23     | 23     | 0.0%     | 1.09      | 5.87      | 1.71     
172.16.32.38         | 23     | 23     | 0.0%     | 1.1       | 5.26      | 1.84     
172.16.32.39         | 23     | 23     | 0.0%     | 0.84      | 4.86      | 1.74     
172.16.32.40         | 23     | 23     | 0.0%     | 1.04      | 3.52      | 1.53     
172.16.32.41         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.42         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.43         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.44         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.45         | 23     | 23     | 0.0%     | 1.11      | 10.7      | 2.02     
172.16.32.46         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.47         | 23     | 23     | 0.0%     | 1.0       | 4.94      | 1.83     
172.16.32.48         | 23     | 23     | 0.0%     | 1.03      | 2.22      | 1.48     
172.16.32.49         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.50         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.51         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.52         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.53         | 23     | 23     | 0.0%     | 1.09      | 4.63      | 1.79     
172.16.32.54         | 23     | 23     | 0.0%     | 0.88      | 3.08      | 1.67     
172.16.32.55         | 23     | 23     | 0.0%     | 1.09      | 3.63      | 1.69     
172.16.32.56         | 23     | 23     | 0.0%     | 0.95      | 4.56      | 1.79     
172.16.32.57         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.58         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.59         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.60         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.61         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.62         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.63         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.64         | 23     | 23     | 0.0%     | 0.96      | 4.39      | 1.85     
172.16.32.65         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.66         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.67         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.68         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.69         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.70         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.71         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.72         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.73         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.74         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.75         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.76         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.77         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.78         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.79         | 12     | 0      | 100.0%   | -         | -         | -        
